"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8"
"1" 0.74 0.38 0.42 0.7 0.98 0.74 0.42 0.98
"2" 0.46 0.58 0.78 0.66 0.66 0.1 0.82 0.02
"3" 0.3 0.98 0.66 0.58 0.42 0.82 0.94 0.7
"4" 0.86 0.7 0.58 0.06 0.74 0.58 0.86 0.78
"5" 0.42 0.9 0.22 0.26 0.9 0.02 0.46 0.58
"6" 0.94 0.34 0.86 0.3 0.1 0.22 0.62 0.62
"7" 0.78 0.62 0.74 0.22 0.26 0.86 0.1 0.5
"8" 0.58 0.14 0.98 0.46 0.86 0.94 0.74 0.42
"9" 0.14 0.54 0.26 0.38 0.34 0.98 0.3 0.82
"10" 0.22 0.46 0.9 0.9 0.18 0.7 0.5 0.14
"11" 0.1 0.78 0.82 0.42 0.94 0.5 0.14 0.26
"12" 0.06 0.74 0.18 0.74 0.06 0.42 0.78 0.46
"13" 0.82 0.1 0.62 0.78 0.38 0.06 0.34 0.3
"14" 0.62 0.66 0.06 0.5 0.22 0.14 0.7 0.94
"15" 0.98 0.5 0.14 0.54 0.78 0.34 0.22 0.1
"16" 0.54 0.94 0.46 0.1 0.14 0.62 0.38 0.06
"17" 0.7 0.22 0.3 0.34 0.3 0.46 0.98 0.18
"18" 0.02 0.18 0.7 0.14 0.62 0.38 0.54 0.9
"19" 0.26 0.42 0.38 0.02 0.46 0.18 0.02 0.38
"20" 0.66 0.86 0.94 0.86 0.5 0.3 0.26 0.86
"21" 0.18 0.3 0.5 0.98 0.82 0.26 0.9 0.54
"22" 0.38 0.02 0.54 0.62 0.02 0.54 0.18 0.74
"23" 0.9 0.82 0.34 0.94 0.58 0.9 0.58 0.34
"24" 0.5 0.26 0.02 0.82 0.7 0.66 0.06 0.66
"25" 0.34 0.06 0.1 0.18 0.54 0.78 0.66 0.22
"26" 0.60625 0.43125 0.79375 0.43125 0.53125 0.63125 0.35625 0.64375
"27" 0.40625 0.36875 0.95625 0.91875 0.36875 0.51875 0.99375 0.48125
"28" 0.94375 0.29375 0.51875 0.44375 0.63125 0.71875 0.01875 0.24375
"29" 0.64375 0.35625 0.25625 0.64375 0.66875 0.80625 0.46875 0.35625
"30" 0.31875 0.39375 0.84375 0.29375 0.76875 0.33125 0.55625 0.28125
"31" 0.83125 0.98125 0.04375 0.39375 0.95625 0.09375 0.16875 0.53125
"32" 0.48125 0.79375 0.90625 0.35625 0.35625 0.79375 0.56875 0.83125
"33" 0.86875 0.76875 0.31875 0.31875 0.01875 0.53125 0.09375 0.94375
"34" 0.99375 0.55625 0.20625 0.80625 0.31875 0.64375 0.44375 0.46875
"35" 0.71875 0.99375 0.55625 0.59375 0.15625 0.28125 0.53125 0.43125
"36" 0.05625 0.11875 0.13125 0.86875 0.98125 0.55625 0.60625 0.05625
"37" 0.19375 0.80625 0.01875 0.48125 0.50625 0.01875 0.68125 0.15625
"38" 0.90625 0.16875 0.80625 0.60625 0.84375 0.16875 0.48125 0.80625
"39" 0.56875 0.71875 0.50625 0.95625 0.79375 0.00625 0.00625 0.76875
"40" 0.75625 0.50625 0.88125 0.99375 0.68125 0.43125 0.29375 0.56875
"41" 0.43125 0.75625 0.16875 0.13125 0.33125 0.39375 0.20625 0.29375
"42" 0.08125 0.51875 0.74375 0.20625 0.11875 0.13125 0.95625 0.33125
"43" 0.84375 0.44375 0.23125 0.25625 0.51875 0.84375 0.51875 0.01875
"44" 0.59375 0.90625 0.08125 0.88125 0.00625 0.86875 0.84375 0.25625
"45" 0.50625 0.25625 0.28125 0.98125 0.20625 0.19375 0.40625 0.20625
"46" 0.70625 0.13125 0.00625 0.08125 0.05625 0.95625 0.23125 0.60625
"47" 0.63125 0.01875 0.66875 0.19375 0.83125 0.50625 0.05625 0.13125
"48" 0.29375 0.15625 0.40625 0.36875 0.04375 0.29375 0.33125 0.00625
"49" 0.95625 0.23125 0.71875 0.74375 0.46875 0.94375 0.94375 0.90625
"50" 0.15625 0.60625 0.53125 0.05625 0.40625 0.91875 0.86875 0.09375
"51" 0.23125 0.00625 0.33125 0.75625 0.88125 0.11875 0.50625 0.66875
"52" 0.74375 0.68125 0.36875 0.01875 0.70625 0.23125 0.76875 0.23125
"53" 0.80625 0.63125 0.39375 0.90625 0.60625 0.76875 0.74375 0.74375
"54" 0.39375 0.64375 0.56875 0.76875 0.75625 0.98125 0.28125 0.11875
"55" 0.35625 0.24375 0.46875 0.56875 0.86875 0.66875 0.75625 0.31875
"56" 0.51875 0.56875 0.70625 0.53125 0.99375 0.99375 0.13125 0.36875
"57" 0.28125 0.70625 0.83125 0.70625 0.19375 0.90625 0.71875 0.59375
"58" 0.33125 0.59375 0.11875 0.84375 0.28125 0.20625 0.04375 0.88125
"59" 0.01875 0.95625 0.94375 0.63125 0.29375 0.75625 0.08125 0.19375
"60" 0.25625 0.94375 0.19375 0.46875 0.71875 0.60625 0.88125 0.98125
"61" 0.53125 0.48125 0.60625 0.23125 0.55625 0.08125 0.66875 0.99375
"62" 0.09375 0.33125 0.35625 0.24375 0.80625 0.88125 0.79375 0.84375
"63" 0.20625 0.28125 0.99375 0.09375 0.64375 0.44375 0.11875 0.75625
"64" 0.79375 0.31875 0.98125 0.50625 0.08125 0.56875 0.70625 0.08125
"65" 0.44375 0.40625 0.24375 0.66875 0.13125 0.35625 0.83125 0.79375
"66" 0.46875 0.19375 0.64375 0.00625 0.25625 0.74375 0.59375 0.55625
"67" 0.76875 0.05625 0.15625 0.55625 0.39375 0.48125 0.63125 0.86875
"68" 0.00625 0.66875 0.29375 0.33125 0.74375 0.70625 0.25625 0.51875
"69" 0.13125 0.20625 0.05625 0.68125 0.56875 0.24375 0.24375 0.40625
"70" 0.66875 0.53125 0.09375 0.15625 0.94375 0.68125 0.98125 0.70625
"71" 0.36875 0.83125 0.86875 0.04375 0.91875 0.25625 0.36875 0.91875
"72" 0.55625 0.08125 0.43125 0.40625 0.44375 0.31875 0.91875 0.50625
"73" 0.16875 0.09375 0.76875 0.94375 0.09375 0.83125 0.19375 0.95625
"74" 0.24375 0.84375 0.63125 0.28125 0.59375 0.59375 0.39375 0.44375
"75" 0.98125 0.91875 0.48125 0.16875 0.16875 0.40625 0.31875 0.68125
"76" 0.91875 0.04375 0.91875 0.11875 0.24375 0.04375 0.80625 0.39375
"77" 0.88125 0.86875 0.68125 0.83125 0.90625 0.36875 0.90625 0.16875
"78" 0.68125 0.74375 0.75625 0.71875 0.43125 0.15625 0.15625 0.04375
"79" 0.11875 0.88125 0.59375 0.79375 0.48125 0.46875 0.64375 0.63125
"80" 0.04375 0.46875 0.44375 0.51875 0.23125 0.05625 0.43125 0.71875
