"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8"
"1" 0.74 0.38 0.42 0.7 0.98 0.74 0.42 0.98
"2" 0.46 0.58 0.78 0.66 0.66 0.1 0.82 0.02
"3" 0.3 0.98 0.66 0.58 0.42 0.82 0.94 0.7
"4" 0.86 0.7 0.58 0.06 0.74 0.58 0.86 0.78
"5" 0.42 0.9 0.22 0.26 0.9 0.02 0.46 0.58
"6" 0.94 0.34 0.86 0.3 0.1 0.22 0.62 0.62
"7" 0.78 0.62 0.74 0.22 0.26 0.86 0.1 0.5
"8" 0.58 0.14 0.98 0.46 0.86 0.94 0.74 0.42
"9" 0.14 0.54 0.26 0.38 0.34 0.98 0.3 0.82
"10" 0.22 0.46 0.9 0.9 0.18 0.7 0.5 0.14
"11" 0.1 0.78 0.82 0.42 0.94 0.5 0.14 0.26
"12" 0.06 0.74 0.18 0.74 0.06 0.42 0.78 0.46
"13" 0.82 0.1 0.62 0.78 0.38 0.06 0.34 0.3
"14" 0.62 0.66 0.06 0.5 0.22 0.14 0.7 0.94
"15" 0.98 0.5 0.14 0.54 0.78 0.34 0.22 0.1
"16" 0.54 0.94 0.46 0.1 0.14 0.62 0.38 0.06
"17" 0.7 0.22 0.3 0.34 0.3 0.46 0.98 0.18
"18" 0.02 0.18 0.7 0.14 0.62 0.38 0.54 0.9
"19" 0.26 0.42 0.38 0.02 0.46 0.18 0.02 0.38
"20" 0.66 0.86 0.94 0.86 0.5 0.3 0.26 0.86
"21" 0.18 0.3 0.5 0.98 0.82 0.26 0.9 0.54
"22" 0.38 0.02 0.54 0.62 0.02 0.54 0.18 0.74
"23" 0.9 0.82 0.34 0.94 0.58 0.9 0.58 0.34
"24" 0.5 0.26 0.02 0.82 0.7 0.66 0.06 0.66
"25" 0.34 0.06 0.1 0.18 0.54 0.78 0.66 0.22
