"V1" "V2" "V3" "V4" "V5" "V6"
"1" 0.58 0.1 0.78 0.62 0.1 0.14
"2" 0.54 0.22 0.46 0.3 0.98 0.62
"3" 0.82 0.7 0.38 0.02 0.14 0.58
"4" 0.86 0.06 0.18 0.66 0.82 0.5
"5" 0.34 0.46 0.74 0.38 0.18 0.98
"6" 0.06 0.86 0.26 0.46 0.78 0.82
"7" 0.7 0.82 0.94 0.34 0.54 0.22
"8" 0.74 0.74 0.82 0.86 0.9 0.7
"9" 0.78 0.34 0.06 0.42 0.26 0.06
"10" 0.38 0.66 0.62 0.06 0.86 0.1
"11" 0.94 0.5 0.5 0.98 0.42 0.3
"12" 0.14 0.42 0.42 0.82 0.94 0.18
"13" 0.02 0.58 0.9 0.74 0.3 0.54
"14" 0.42 0.78 0.14 0.9 0.22 0.38
"15" 0.26 0.3 0.98 0.5 0.74 0.34
"16" 0.46 0.02 0.86 0.1 0.46 0.74
"17" 0.66 0.26 0.3 0.78 0.06 0.78
"18" 0.1 0.18 0.22 0.14 0.38 0.26
"19" 0.3 0.62 0.02 0.58 0.5 0.66
"20" 0.22 0.14 0.58 0.94 0.58 0.9
"21" 0.18 0.9 0.54 0.26 0.02 0.46
"22" 0.5 0.98 0.34 0.7 0.62 0.02
"23" 0.9 0.94 0.66 0.54 0.34 0.86
"24" 0.62 0.54 0.1 0.18 0.7 0.94
"25" 0.98 0.38 0.7 0.22 0.66 0.42
"26" 0.791666666666667 0.875 0.875 0.408333333333333 0.708333333333333 0.558333333333333
"27" 0.208333333333333 0.608333333333333 0.841666666666667 0.291666666666667 0.408333333333333 0.00833333333333333
"28" 0.841666666666667 0.908333333333333 0.0416666666666667 0.758333333333333 0.441666666666667 0.325
"29" 0.391666666666667 0.325 0.0583333333333333 0.958333333333333 0.725 0.708333333333333
"30" 0.525 0.158333333333333 0.158333333333333 0.441666666666667 0.558333333333333 0.158333333333333
"31" 0.358333333333333 0.991666666666667 0.408333333333333 0.391666666666667 0.475 0.758333333333333
"32" 0.175 0.941666666666667 0.758333333333333 0.908333333333333 0.791666666666667 0.608333333333333
"33" 0.641666666666667 0.475 0.991666666666667 0.0583333333333333 0.358333333333333 0.508333333333333
"34" 0.275 0.125 0.00833333333333333 0.358333333333333 0.908333333333333 0.525
"35" 0.00833333333333333 0.725 0.175 0.175 0.675 0.291666666666667
"36" 0.125 0.791666666666667 0.958333333333333 0.608333333333333 0.158333333333333 0.841666666666667
"37" 0.0916666666666667 0.508333333333333 0.475 0.0416666666666667 0.875 0.791666666666667
"38" 0.991666666666667 0.441666666666667 0.275 0.508333333333333 0.525 0.591666666666667
"39" 0.958333333333333 0.675 0.508333333333333 0.675 0.591666666666667 0.991666666666667
"40" 0.825 0.175 0.791666666666667 0.158333333333333 0.825 0.875
"41" 0.758333333333333 0.0916666666666667 0.391666666666667 0.841666666666667 0.391666666666667 0.825
"42" 0.875 0.208333333333333 0.908333333333333 0.875 0.208333333333333 0.208333333333333
"43" 0.725 0.00833333333333333 0.525 0.558333333333333 0.758333333333333 0.0416666666666667
"44" 0.325 0.275 0.725 0.00833333333333333 0.608333333333333 0.391666666666667
"45" 0.941666666666667 0.291666666666667 0.608333333333333 0.325 0.0416666666666667 0.675
"46" 0.908333333333333 0.758333333333333 0.241666666666667 0.275 0.941666666666667 0.125
"47" 0.608333333333333 0.591666666666667 0.708333333333333 0.991666666666667 0.641666666666667 0.475
"48" 0.675 0.558333333333333 0.325 0.591666666666667 0.841666666666667 0.241666666666667
"49" 0.558333333333333 0.641666666666667 0.208333333333333 0.825 0.291666666666667 0.908333333333333
"50" 0.0416666666666667 0.0416666666666667 0.558333333333333 0.525 0.241666666666667 0.641666666666667
"51" 0.441666666666667 0.841666666666667 0.641666666666667 0.641666666666667 0.991666666666667 0.408333333333333
"52" 0.475 0.525 0.825 0.475 0.00833333333333333 0.275
"53" 0.708333333333333 0.825 0.125 0.0916666666666667 0.0916666666666667 0.725
"54" 0.408333333333333 0.0583333333333333 0.358333333333333 0.208333333333333 0.175 0.358333333333333
"55" 0.158333333333333 0.408333333333333 0.0916666666666667 0.708333333333333 0.125 0.441666666666667
"56" 0.591666666666667 0.958333333333333 0.591666666666667 0.125 0.275 0.175
"57" 0.291666666666667 0.708333333333333 0.441666666666667 0.941666666666667 0.0583333333333333 0.0916666666666667
"58" 0.241666666666667 0.358333333333333 0.291666666666667 0.241666666666667 0.325 0.958333333333333
"59" 0.0583333333333333 0.241666666666667 0.675 0.791666666666667 0.508333333333333 0.0583333333333333
"60" 0.508333333333333 0.391666666666667 0.941666666666667 0.725 0.958333333333333 0.941666666666667
