"V1" "V2" "V3" "V4" "V5" "V6"
"1" 0.54 0.78 0.62 0.62 0.58 0.3
"2" 0.82 0.42 0.78 0.46 0.26 0.18
"3" 0.14 0.66 0.18 0.18 0.38 0.26
"4" 0.3 0.06 0.26 0.7 0.94 0.14
"5" 0.34 0.62 0.5 0.5 0.82 0.58
"6" 0.1 0.98 0.54 0.06 0.62 0.94
"7" 0.78 0.1 0.38 0.26 0.54 0.66
"8" 0.62 0.58 0.94 0.02 0.5 0.46
"9" 0.06 0.74 0.9 0.66 0.02 0.74
"10" 0.18 0.22 0.86 0.42 0.7 0.38
"11" 0.38 0.94 0.82 0.9 0.42 0.06
"12" 0.58 0.38 0.98 0.22 0.9 0.98
"13" 0.98 0.82 0.06 0.34 0.74 0.1
"14" 0.42 0.46 0.14 0.78 0.66 0.7
"15" 0.9 0.3 0.22 0.58 0.46 0.9
"16" 0.46 0.26 0.46 0.1 0.06 0.22
"17" 0.22 0.14 0.02 0.98 0.22 0.62
"18" 0.66 0.02 0.1 0.54 0.1 0.42
"19" 0.7 0.18 0.7 0.86 0.78 0.82
"20" 0.02 0.34 0.58 0.74 0.34 0.5
"21" 0.26 0.54 0.66 0.3 0.14 0.86
"22" 0.74 0.7 0.42 0.82 0.18 0.02
"23" 0.86 0.9 0.74 0.14 0.98 0.54
"24" 0.5 0.86 0.3 0.38 0.3 0.78
"25" 0.94 0.5 0.34 0.94 0.86 0.34
"26" 0.591666666666667 0.175 0.408333333333333 0.675 0.708333333333333 0.525
"27" 0.291666666666667 0.708333333333333 0.708333333333333 0.358333333333333 0.441666666666667 0.708333333333333
"28" 0.841666666666667 0.941666666666667 0.208333333333333 0.841666666666667 0.641666666666667 0.275
"29" 0.758333333333333 0.508333333333333 0.241666666666667 0.325 0.0416666666666667 0.608333333333333
"30" 0.241666666666667 0.875 0.475 0.758333333333333 0.508333333333333 0.408333333333333
"31" 0.641666666666667 0.00833333333333333 0.508333333333333 0.175 0.241666666666667 0.725
"32" 0.825 0.791666666666667 0.125 0.725 0.825 0.875
"33" 0.325 0.125 0.0583333333333333 0.125 0.558333333333333 0.841666666666667
"34" 0.0583333333333333 0.0416666666666667 0.441666666666667 0.275 0.791666666666667 0.208333333333333
"35" 0.175 0.758333333333333 0.275 0.0583333333333333 0.0916666666666667 0.508333333333333
"36" 0.358333333333333 0.291666666666667 0.0916666666666667 0.241666666666667 0.291666666666667 0.358333333333333
"37" 0.00833333333333333 0.841666666666667 0.958333333333333 0.00833333333333333 0.125 0.125
"38" 0.608333333333333 0.641666666666667 0.325 0.408333333333333 0.608333333333333 0.0583333333333333
"39" 0.0916666666666667 0.408333333333333 0.991666666666667 0.525 0.591666666666667 0.558333333333333
"40" 0.441666666666667 0.558333333333333 0.758333333333333 0.208333333333333 0.758333333333333 0.441666666666667
"41" 0.875 0.675 0.841666666666667 0.0916666666666667 0.675 0.791666666666667
"42" 0.791666666666667 0.391666666666667 0.641666666666667 0.991666666666667 0.908333333333333 0.391666666666667
"43" 0.558333333333333 0.958333333333333 0.875 0.291666666666667 0.208333333333333 0.325
"44" 0.525 0.325 0.175 0.0416666666666667 0.958333333333333 0.758333333333333
"45" 0.391666666666667 0.441666666666667 0.358333333333333 0.591666666666667 0.175 0.158333333333333
"46" 0.125 0.991666666666667 0.791666666666667 0.608333333333333 0.875 0.675
"47" 0.675 0.525 0.0416666666666667 0.641666666666667 0.358333333333333 0.958333333333333
"48" 0.408333333333333 0.908333333333333 0.941666666666667 0.475 0.841666666666667 0.908333333333333
"49" 0.958333333333333 0.475 0.608333333333333 0.158333333333333 0.525 0.0416666666666667
"50" 0.475 0.825 0.591666666666667 0.941666666666667 0.391666666666667 0.591666666666667
"51" 0.208333333333333 0.358333333333333 0.291666666666667 0.958333333333333 0.725 0.00833333333333333
"52" 0.941666666666667 0.0583333333333333 0.158333333333333 0.441666666666667 0.408333333333333 0.475
"53" 0.158333333333333 0.158333333333333 0.675 0.558333333333333 0.325 0.0916666666666667
"54" 0.508333333333333 0.0916666666666667 0.725 0.791666666666667 0.0583333333333333 0.991666666666667
"55" 0.0416666666666667 0.591666666666667 0.391666666666667 0.875 0.275 0.825
"56" 0.275 0.608333333333333 0.00833333333333333 0.825 0.991666666666667 0.291666666666667
"57" 0.908333333333333 0.275 0.825 0.708333333333333 0.158333333333333 0.641666666666667
"58" 0.991666666666667 0.208333333333333 0.525 0.391666666666667 0.00833333333333333 0.941666666666667
"59" 0.708333333333333 0.725 0.558333333333333 0.508333333333333 0.941666666666667 0.241666666666667
"60" 0.725 0.241666666666667 0.908333333333333 0.908333333333333 0.475 0.175
