"V1" "V2" "V3" "V4" "V5" "V6"
"1" 0.54 0.78 0.62 0.62 0.58 0.3
"2" 0.82 0.42 0.78 0.46 0.26 0.18
"3" 0.14 0.66 0.18 0.18 0.38 0.26
"4" 0.3 0.06 0.26 0.7 0.94 0.14
"5" 0.34 0.62 0.5 0.5 0.82 0.58
"6" 0.1 0.98 0.54 0.06 0.62 0.94
"7" 0.78 0.1 0.38 0.26 0.54 0.66
"8" 0.62 0.58 0.94 0.02 0.5 0.46
"9" 0.06 0.74 0.9 0.66 0.02 0.74
"10" 0.18 0.22 0.86 0.42 0.7 0.38
"11" 0.38 0.94 0.82 0.9 0.42 0.06
"12" 0.58 0.38 0.98 0.22 0.9 0.98
"13" 0.98 0.82 0.06 0.34 0.74 0.1
"14" 0.42 0.46 0.14 0.78 0.66 0.7
"15" 0.9 0.3 0.22 0.58 0.46 0.9
"16" 0.46 0.26 0.46 0.1 0.06 0.22
"17" 0.22 0.14 0.02 0.98 0.22 0.62
"18" 0.66 0.02 0.1 0.54 0.1 0.42
"19" 0.7 0.18 0.7 0.86 0.78 0.82
"20" 0.02 0.34 0.58 0.74 0.34 0.5
"21" 0.26 0.54 0.66 0.3 0.14 0.86
"22" 0.74 0.7 0.42 0.82 0.18 0.02
"23" 0.86 0.9 0.74 0.14 0.98 0.54
"24" 0.5 0.86 0.3 0.38 0.3 0.78
"25" 0.94 0.5 0.34 0.94 0.86 0.34
"26" 0.275 0.291666666666667 0.0583333333333333 0.841666666666667 0.608333333333333 0.325
"27" 0.825 0.991666666666667 0.591666666666667 0.758333333333333 0.908333333333333 0.358333333333333
"28" 0.591666666666667 0.608333333333333 0.558333333333333 0.875 0.441666666666667 0.641666666666667
"29" 0.958333333333333 0.208333333333333 0.825 0.791666666666667 0.275 0.00833333333333333
"30" 0.241666666666667 0.708333333333333 0.325 0.525 0.525 0.875
"31" 0.358333333333333 0.408333333333333 0.708333333333333 0.125 0.758333333333333 0.758333333333333
"32" 0.791666666666667 0.441666666666667 0.0416666666666667 0.675 0.708333333333333 0.791666666666667
"33" 0.725 0.358333333333333 0.908333333333333 0.558333333333333 0.408333333333333 0.608333333333333
"34" 0.558333333333333 0.0583333333333333 0.175 0.941666666666667 0.725 0.558333333333333
"35" 0.675 0.758333333333333 0.758333333333333 0.275 0.641666666666667 0.125
"36" 0.00833333333333333 0.0416666666666667 0.641666666666667 0.00833333333333333 0.591666666666667 0.825
"37" 0.391666666666667 0.175 0.358333333333333 0.641666666666667 0.958333333333333 0.0916666666666667
"38" 0.0583333333333333 0.0916666666666667 0.725 0.508333333333333 0.391666666666667 0.291666666666667
"39" 0.175 0.475 0.608333333333333 0.241666666666667 0.291666666666667 0.525
"40" 0.641666666666667 0.241666666666667 0.291666666666667 0.175 0.00833333333333333 0.725
"41" 0.0916666666666667 0.275 0.158333333333333 0.358333333333333 0.875 0.175
"42" 0.875 0.158333333333333 0.508333333333333 0.291666666666667 0.508333333333333 0.408333333333333
"43" 0.708333333333333 0.508333333333333 0.241666666666667 0.391666666666667 0.991666666666667 0.941666666666667
"44" 0.941666666666667 0.941666666666667 0.441666666666667 0.441666666666667 0.675 0.708333333333333
"45" 0.991666666666667 0.558333333333333 0.0916666666666667 0.608333333333333 0.208333333333333 0.841666666666667
"46" 0.475 0.525 0.791666666666667 0.725 0.558333333333333 0.241666666666667
"47" 0.508333333333333 0.325 0.525 0.0416666666666667 0.158333333333333 0.0416666666666667
"48" 0.0416666666666667 0.591666666666667 0.275 0.158333333333333 0.791666666666667 0.0583333333333333
"49" 0.441666666666667 0.958333333333333 0.00833333333333333 0.325 0.825 0.508333333333333
"50" 0.525 0.125 0.958333333333333 0.475 0.175 0.958333333333333
"51" 0.758333333333333 0.841666666666667 0.125 0.0583333333333333 0.358333333333333 0.275
"52" 0.125 0.391666666666667 0.408333333333333 0.908333333333333 0.0916666666666667 0.441666666666667
"53" 0.325 0.791666666666667 0.208333333333333 0.991666666666667 0.475 0.391666666666667
"54" 0.608333333333333 0.908333333333333 0.391666666666667 0.708333333333333 0.241666666666667 0.208333333333333
"55" 0.158333333333333 0.875 0.941666666666667 0.825 0.841666666666667 0.675
"56" 0.208333333333333 0.825 0.475 0.591666666666667 0.0583333333333333 0.991666666666667
"57" 0.908333333333333 0.725 0.991666666666667 0.0916666666666667 0.125 0.591666666666667
"58" 0.408333333333333 0.675 0.675 0.408333333333333 0.0416666666666667 0.475
"59" 0.841666666666667 0.641666666666667 0.841666666666667 0.958333333333333 0.941666666666667 0.158333333333333
"60" 0.291666666666667 0.00833333333333333 0.875 0.208333333333333 0.325 0.908333333333333
