"V1" "V2" "V3" "V4" "V5" "V6"
"1" 0.58 0.1 0.78 0.62 0.1 0.14
"2" 0.54 0.22 0.46 0.3 0.98 0.62
"3" 0.82 0.7 0.38 0.02 0.14 0.58
"4" 0.86 0.06 0.18 0.66 0.82 0.5
"5" 0.34 0.46 0.74 0.38 0.18 0.98
"6" 0.06 0.86 0.26 0.46 0.78 0.82
"7" 0.7 0.82 0.94 0.34 0.54 0.22
"8" 0.74 0.74 0.82 0.86 0.9 0.7
"9" 0.78 0.34 0.06 0.42 0.26 0.06
"10" 0.38 0.66 0.62 0.06 0.86 0.1
"11" 0.94 0.5 0.5 0.98 0.42 0.3
"12" 0.14 0.42 0.42 0.82 0.94 0.18
"13" 0.02 0.58 0.9 0.74 0.3 0.54
"14" 0.42 0.78 0.14 0.9 0.22 0.38
"15" 0.26 0.3 0.98 0.5 0.74 0.34
"16" 0.46 0.02 0.86 0.1 0.46 0.74
"17" 0.66 0.26 0.3 0.78 0.06 0.78
"18" 0.1 0.18 0.22 0.14 0.38 0.26
"19" 0.3 0.62 0.02 0.58 0.5 0.66
"20" 0.22 0.14 0.58 0.94 0.58 0.9
"21" 0.18 0.9 0.54 0.26 0.02 0.46
"22" 0.5 0.98 0.34 0.7 0.62 0.02
"23" 0.9 0.94 0.66 0.54 0.34 0.86
"24" 0.62 0.54 0.1 0.18 0.7 0.94
"25" 0.98 0.38 0.7 0.22 0.66 0.42
